State Wise Total Notified From 01/01/2017 To : 31/12/2020,,
State,Total Public Notified,Total Private Notified
Andaman & Nicobar Islands,2212,52
Andhra Pradesh,251642,81460
Arunachal Pradesh,11769,56
Assam,143059,21718
Bihar,252676,176453
Chandigarh,19803,1337
Chhattisgarh,113727,39353
Dadra and Nagar Haveli and Daman and Diu,4774,448
Delhi,267233,67797
Goa,6534,1639
Gujarat,389209,183399
Haryana,175562,64449
Himachal Pradesh,56865,5044
Jammu & Kashmir,37369,3632
Jharkhand,148786,45250
Karnataka,253893,61893
Kerala,73902,20474
Ladakh,1223,99
Lakshadweep,103,0
Madhya Pradesh,481672,131617
Maharashtra,504580,248104
Manipur,6955,2469
Meghalaya,15407,2666
Mizoram,10071,256
Nagaland,13150,2891
Odisha,183629,15755
Puducherry,12631,201
Punjab,157672,40301
Rajasthan,416508,158757
Sikkim,5285,257
Tamil Nadu,290306,88044
Telangana,170452,61637
Tripura,9390,137
Uttar Pradesh,1115578,448228
Uttarakhand,64592,20114
West Bengal,316483,69034
Total,5984702,2065021
