Month,Tuberculosis
Jan-05,85577
Feb-05,75625
Mar-05,151935
Apr-05,165419
May-05,150823
Jun-05,151330
Jul-05,133807
Aug-05,132729
Sep-05,123062
Oct-05,104851
Nov-05,117468
Dec-05,116859
Jan-06,89436
Feb-06,103823
Mar-06,147996
Apr-06,145029
May-06,135933
Jun-06,134879
Jul-06,123829
Aug-06,127509
Sep-06,115540
Oct-06,108177
Nov-06,111384
Dec-06,114262
Jan-07,115457
Feb-07,91235
Mar-07,141508
Apr-07,148930
May-07,135933
Jun-07,134775
Jul-07,134695
Aug-07,130404
Sep-07,119078
Oct-07,111325
Nov-07,116503
Dec-07,119421
Jan-08,111688
Feb-08,101689
Mar-08,156679
Apr-08,153978
May-08,142612
Jun-08,131699
Jul-08,136378
Aug-08,122923
Sep-08,123998
Oct-08,119821
Nov-08,110896
Dec-08,121114
Jan-09,90160
Feb-09,127167
Mar-09,139986
Apr-09,139915
May-09,128411
Jun-09,142182
Jul-09,129537
Aug-09,126893
Sep-09,124152
Oct-09,109343
Nov-09,104782
Dec-09,120341
Jan-10,105877
Feb-10,88759
Mar-10,138574
Apr-10,133833
May-10,128598
Jun-10,127545
Jul-10,122602
Aug-10,117221
Sep-10,112288
Oct-10,101463
Nov-10,110414
Dec-10,105036
Jan-11,99617
Feb-11,98157
Mar-11,135848
Apr-11,129351
May-11,125129
Jun-11,119344
Jul-11,112647
Aug-11,115140
Sep-11,106925
Oct-11,100392
Nov-11,110662
Dec-11,104710
